Date,Si,Volume,Open,High,Low
12/06/2023,1.3604,N/A,1.3591,1.3608,1.3589
12/05/2023,1.357,N/A,1.357,1.3572,1.3531
12/04/2023,1.3558,N/A,1.3537,1.3566,1.3531
12/03/2023,1.3518,N/A,1.3497,1.3523,1.348
12/01/2023,1.3497,N/A,1.3562,1.3576,1.3487
11/30/2023,1.3544,N/A,1.3562,1.3576,1.3535
11/29/2023,1.3577,N/A,1.3589,1.3594,1.3577
11/28/2023,1.3549,N/A,1.3574,1.3577,1.3541
11/27/2023,1.3604,N/A,1.3615,1.3622,1.3599
11/26/2023,1.3655,N/A,1.3635,1.3662,1.3624
11/24/2023,1.3638,N/A,1.3692,1.3712,1.3594
11/23/2023,1.3704,N/A,1.3692,1.3712,1.3692
11/22/2023,1.3682,N/A,1.3688,1.3698,1.368
11/21/2023,1.3702,N/A,1.37,1.3707,1.3691
11/20/2023,1.3712,N/A,1.3724,1.3731,1.3705
11/19/2023,1.3695,N/A,1.3718,1.3728,1.369
11/17/2023,1.3719,N/A,1.3755,1.3772,1.3708
11/16/2023,1.3751,N/A,1.3755,1.3759,1.3748
11/15/2023,1.3704,N/A,1.3678,1.3713,1.3677
11/14/2023,1.3683,N/A,1.3692,1.371,1.3681
11/13/2023,1.3815,N/A,1.3799,1.3815,1.3793
11/12/2023,1.3818,N/A,1.3799,1.382,1.3787
11/10/2023,1.3796,N/A,1.3806,1.3855,1.3791
11/09/2023,1.3796,N/A,1.3806,1.3815,1.3795
11/08/2023,1.379,N/A,1.3791,1.3798,1.3783
11/07/2023,1.3769,N/A,1.3766,1.3775,1.3755
11/06/2023,1.3721,N/A,1.3697,1.3724,1.3689
11/05/2023,1.3651,N/A,1.3659,1.3667,1.3646
11/03/2023,1.3659,N/A,1.3737,1.3761,1.3654
11/02/2023,1.3743,N/A,1.3743,1.3761,1.3737
11/01/2023,1.383,N/A,1.3856,1.3861,1.3824
10/31/2023,1.388,N/A,1.3874,1.389,1.3865
10/30/2023,1.3847,N/A,1.3825,1.385,1.3822
10/29/2023,1.3859,N/A,1.3869,1.3873,1.3851
10/27/2023,1.3874,N/A,1.3831,1.388,1.3796
10/26/2023,1.3811,N/A,1.3831,1.3832,1.3804
10/25/2023,1.3813,N/A,1.3795,1.3819,1.3793
10/24/2023,1.3744,N/A,1.3737,1.3747,1.373
10/23/2023,1.3672,N/A,1.3689,1.3695,1.3667
10/22/2023,1.3717,N/A,1.3716,1.372,1.3692
10/20/2023,1.3716,N/A,1.3718,1.3735,1.367
10/19/2023,1.3712,N/A,1.3718,1.3735,1.3705
10/18/2023,1.3735,N/A,1.3715,1.3736,1.3709
10/17/2023,1.3639,N/A,1.3649,1.3659,1.3632
10/16/2023,1.3627,N/A,1.3609,1.3633,1.3606
10/15/2023,1.3643,N/A,1.3657,1.3662,1.3638
10/13/2023,1.3656,N/A,1.3689,1.3695,1.3637
10/12/2023,1.3683,N/A,1.3689,1.3695,1.3678
10/11/2023,1.3592,N/A,1.3592,1.3603,1.3583
10/10/2023,1.3589,N/A,1.3583,1.3595,1.3571
10/09/2023,1.3579,N/A,1.359,1.3599,1.3569
10/08/2023,1.366,N/A,1.3661,1.3679,1.364
10/06/2023,1.3664,N/A,1.3704,1.3745,1.3644
10/05/2023,1.3712,N/A,1.3704,1.3715,1.3703
10/04/2023,1.3712,N/A,1.3744,1.3756,1.3711
10/03/2023,1.3716,N/A,1.3708,1.372,1.3699
10/02/2023,1.3695,N/A,1.3676,1.37,1.3662
10/01/2023,1.3582,N/A,1.3577,1.3582,1.3562
09/29/2023,1.3577,N/A,1.3486,1.3585,1.3417
09/28/2023,1.3483,N/A,1.3486,1.3507,1.3475
09/27/2023,1.3492,N/A,1.3492,1.3505,1.3482
09/26/2023,1.3518,N/A,1.3515,1.3526,1.3501
